DATETIME,ACCOUNT NUMBER,TYPE,USAGE UNIT,USAGE
2024-12-31,9643421000,Electric,kWh,559.77
2024-01-31,7948141000,Electric,kWh,2044.19
2024-02-29,7948141000,Electric,kWh,922.45
2024-03-31,7948141000,Electric,kWh,725.46
2024-04-30,7948141000,Electric,kWh,460.01
2024-05-31,7948141000,Electric,kWh,272.6
2024-06-30,7948141000,Electric,kWh,254.83
2024-07-31,7948141000,Electric,kWh,319.34000000000003
2024-08-31,7948141000,Electric,kWh,343.81
2024-09-30,7948141000,Electric,kWh,361.8
2024-10-31,7948141000,Electric,kWh,355.56
2024-11-30,7948141000,Electric,kWh,514.01
2024-12-31,7948141000,Electric,kWh,926.62
2024-01-31,6879341000,Electric,kWh,1832.59
2024-02-29,6879341000,Electric,kWh,1141.22
2024-03-31,6879341000,Electric,kWh,1037.34
2024-04-30,6879341000,Electric,kWh,811.6800000000001
2024-05-31,6879341000,Electric,kWh,823.91
2024-06-30,6879341000,Electric,kWh,860.29
2024-07-31,6879341000,Electric,kWh,897.43
2024-08-31,6879341000,Electric,kWh,906.46
2024-09-30,6879341000,Electric,kWh,720.73
2024-10-31,6879341000,Electric,kWh,805.15
2024-11-30,6879341000,Electric,kWh,792.16
2024-12-31,6879341000,Electric,kWh,1216.96
2024-01-31,8789891000,Electric,kWh,50966.91
2024-02-29,8789891000,Electric,kWh,54360.03
2024-03-31,8789891000,Electric,kWh,48711.12
2024-04-30,8789891000,Electric,kWh,58472.73
2024-05-31,8789891000,Electric,kWh,76627.35
2024-06-30,8789891000,Electric,kWh,89785.89
2024-07-31,8789891000,Electric,kWh,103342.53
2024-08-31,8789891000,Electric,kWh,88864.23
2024-09-30,8789891000,Electric,kWh,94405.08
2024-10-31,8789891000,Electric,kWh,64681.23
2024-11-30,8789891000,Electric,kWh,49184.34
2024-12-31,8789891000,Electric,kWh,46124.22
2024-01-31,9996370000,Gas,Therms,97.97
2024-02-29,9996370000,Gas,Therms,53.87
2024-03-31,9996370000,Gas,Therms,68.77
2024-04-30,9996370000,Gas,Therms,34.62
2024-05-31,9996370000,Gas,Therms,7.05
2024-06-30,9996370000,Gas,Therms,7.53
2024-07-31,9996370000,Gas,Therms,7.58
2024-08-31,9996370000,Gas,Therms,7.22
2024-09-30,9996370000,Gas,Therms,8.15
2024-10-31,9996370000,Gas,Therms,18.41
2024-11-30,9996370000,Gas,Therms,46.82
2024-12-31,9996370000,Gas,Therms,84.31
2024-01-31,7839230000,Electric,kWh,1378.66
2024-02-29,7839230000,Electric,kWh,1266.19
2024-03-31,7839230000,Electric,kWh,928.2
2024-04-30,7839230000,Electric,kWh,623.13
2024-05-31,7839230000,Electric,kWh,277.43
2024-06-30,7839230000,Electric,kWh,204.07
2024-07-31,7839230000,Electric,kWh,293.87
2024-08-31,7839230000,Electric,kWh,331.6
2024-09-30,7839230000,Electric,kWh,632.66
2024-10-31,7839230000,Electric,kWh,580.46
2024-11-30,7839230000,Electric,kWh,915.28
2024-12-31,7839230000,Electric,kWh,1352.24
2024-01-31,7948141000,Electric,kWh,2044.19
2024-02-29,7948141000,Electric,kWh,922.45
2024-03-31,7948141000,Electric,kWh,725.46
2024-04-30,7948141000,Electric,kWh,460.01
2024-05-31,7948141000,Electric,kWh,272.6
2024-06-30,7948141000,Electric,kWh,254.83
2024-07-31,7948141000,Electric,kWh,319.34000000000003
2024-08-31,7948141000,Electric,kWh,343.81
2024-09-30,7948141000,Electric,kWh,361.8
2024-10-31,7948141000,Electric,kWh,355.56
2024-11-30,7948141000,Electric,kWh,514.01
2024-12-31,7948141000,Electric,kWh,926.62
2024-01-31,9419081000,Electric,kWh,5603.25
2024-02-29,9419081000,Electric,kWh,6043.1
2024-03-31,9419081000,Electric,kWh,5174.07
2024-04-30,9419081000,Electric,kWh,5931.9
2024-05-31,9419081000,Electric,kWh,5389.1
2024-06-30,9419081000,Electric,kWh,5458.15
2024-07-31,9419081000,Electric,kWh,6927.9
2024-08-31,9419081000,Electric,kWh,5704.83
2024-09-30,9419081000,Electric,kWh,8276.47
2024-10-31,9419081000,Electric,kWh,6157.3
2024-11-30,9419081000,Electric,kWh,5595.39
2024-12-31,9419081000,Electric,kWh,6079.33
2024-01-31,6904468015,Gas,Therms,513.16
2024-02-29,6904468015,Gas,Therms,356.18999999999966
2024-03-31,6904468015,Gas,Therms,224.17000000000004
2024-04-30,6904468015,Gas,Therms,94.36999999999986
2024-05-31,6904468015,Gas,Therms,16.11000000000001
2024-06-30,6904468015,Gas,Therms,0.02
2024-07-31,6904468015,Gas,Therms,0.04
2024-08-31,6904468015,Gas,Therms,0.02
2024-09-30,6904468015,Gas,Therms,0.93
2024-10-31,6904468015,Gas,Therms,35.110000000000014
2024-11-30,6904468015,Gas,Therms,172.60999999999993
2024-12-31,6904468015,Gas,Therms,472.08000000000027
2024-01-31,1906820000,Electric,kWh,1105.95
2024-02-29,1906820000,Electric,kWh,1177.58
2024-03-31,1906820000,Electric,kWh,809.12
2024-04-30,1906820000,Electric,kWh,1017.95
2024-05-31,1906820000,Electric,kWh,663.7
2024-06-30,1906820000,Electric,kWh,389.59
2024-07-31,1906820000,Electric,kWh,543.97
2024-08-31,1906820000,Electric,kWh,521.75
2024-09-30,1906820000,Electric,kWh,1417.68
2024-10-31,1906820000,Electric,kWh,1207.46
2024-11-30,1906820000,Electric,kWh,1449.2
2024-12-31,1906820000,Electric,kWh,1335.83
2024-01-31,7839230000,Electric,kWh,1378.66
2024-02-29,7839230000,Electric,kWh,1266.19
2024-03-31,7839230000,Electric,kWh,928.2
2024-04-30,7839230000,Electric,kWh,623.13
2024-05-31,7839230000,Electric,kWh,277.43
2024-06-30,7839230000,Electric,kWh,204.07
2024-07-31,7839230000,Electric,kWh,293.87
2024-08-31,7839230000,Electric,kWh,331.6
2024-09-30,7839230000,Electric,kWh,632.66
2024-10-31,7839230000,Electric,kWh,580.46
2024-11-30,7839230000,Electric,kWh,915.28
2024-12-31,7839230000,Electric,kWh,1352.24
2024-01-31,8518399880,Electric,kWh,255.29
2024-02-29,8518399880,Electric,kWh,273.92
2024-03-31,8518399880,Electric,kWh,191.26
2024-04-30,8518399880,Electric,kWh,154.47
2024-05-31,8518399880,Electric,kWh,159.29
2024-06-30,8518399880,Electric,kWh,218.88
2024-07-31,8518399880,Electric,kWh,758.73
2024-08-31,8518399880,Electric,kWh,629.47
2024-09-30,8518399880,Electric,kWh,247.99
2024-10-31,8518399880,Electric,kWh,365.22
2024-11-30,8518399880,Electric,kWh,437.66
2024-12-31,8518399880,Electric,kWh,653.6
2024-01-31,1071270000,Electric,kWh,11741.34
2024-02-29,1071270000,Electric,kWh,9974.94
2024-03-31,1071270000,Electric,kWh,9055.24
2024-04-30,1071270000,Electric,kWh,8178.04
2024-05-31,1071270000,Electric,kWh,7974.5
2024-06-30,1071270000,Electric,kWh,10592.29
2024-07-31,1071270000,Electric,kWh,12246.13
2024-08-31,1071270000,Electric,kWh,11831.03
2024-09-30,1071270000,Electric,kWh,10583.46
2024-10-31,1071270000,Electric,kWh,7898.57
2024-11-30,1071270000,Electric,kWh,6352.18
2024-12-31,1071270000,Electric,kWh,9073.46
2024-01-31,8672002000,Electric,kWh,4257.4
2024-02-29,8672002000,Electric,kWh,3201.19
2024-03-31,8672002000,Electric,kWh,2638.52
2024-04-30,8672002000,Electric,kWh,1635.48
2024-05-31,8672002000,Electric,kWh,1405.9
2024-06-30,8672002000,Electric,kWh,2265.89
2024-07-31,8672002000,Electric,kWh,2591.89
2024-08-31,8672002000,Electric,kWh,2644.71
2024-09-30,8672002000,Electric,kWh,2495.24
2024-10-31,8672002000,Electric,kWh,2306.92
2024-11-30,8672002000,Electric,kWh,2267.31
2024-12-31,8672002000,Electric,kWh,3973.88
2024-01-31,2849571000,Gas,Therms,1823.67
2024-02-29,2849571000,Gas,Therms,1891.45
2024-03-31,2849571000,Gas,Therms,1377.56
2024-04-30,2849571000,Gas,Therms,726.450000000003
2024-05-31,2849571000,Gas,Therms,199.06
2024-06-30,2849571000,Gas,Therms,68.67
2024-07-31,2849571000,Gas,Therms,62.62
2024-08-31,2849571000,Gas,Therms,113.01
2024-09-30,2849571000,Gas,Therms,297.93
2024-10-31,2849571000,Gas,Therms,500.76
2024-11-30,2849571000,Gas,Therms,1073.0099999999886
2024-12-31,2849571000,Gas,Therms,2004.5599999999995
2024-01-31,2057830000,Electric,kWh,3929.58
2024-02-29,2057830000,Electric,kWh,3386.9900000000002
2024-03-31,2057830000,Electric,kWh,3538.33
2024-04-30,2057830000,Electric,kWh,3215.36
2024-05-31,2057830000,Electric,kWh,2723.21
2024-06-30,2057830000,Electric,kWh,3490.95
2024-07-31,2057830000,Electric,kWh,4718.66
2024-08-31,2057830000,Electric,kWh,4485.47
2024-09-30,2057830000,Electric,kWh,3811.3
2024-10-31,2057830000,Electric,kWh,2868.07
2024-11-30,2057830000,Electric,kWh,1959.02
2024-12-31,2057830000,Electric,kWh,2050.37
2024-01-31,1125891000,Gas,Therms,53.31
2024-02-29,1125891000,Gas,Therms,68.4
2024-03-31,1125891000,Gas,Therms,48.68
2024-04-30,1125891000,Gas,Therms,29.84
2024-05-31,1125891000,Gas,Therms,17.94
2024-06-30,1125891000,Gas,Therms,105.39
2024-07-31,1125891000,Gas,Therms,9.78
2024-08-31,1125891000,Gas,Therms,7.1000000000000005
2024-09-30,1125891000,Gas,Therms,22.17
2024-10-31,1125891000,Gas,Therms,73.98
2024-11-30,1125891000,Gas,Therms,61.76
2024-12-31,1125891000,Gas,Therms,77.51
2024-01-31,4699370000,Electric,kWh,968.21
2024-02-29,4699370000,Electric,kWh,1070.52
2024-03-31,4699370000,Electric,kWh,833.32
2024-04-30,4699370000,Electric,kWh,775.36
2024-05-31,4699370000,Electric,kWh,350.37
2024-06-30,4699370000,Electric,kWh,271.46
2024-07-31,4699370000,Electric,kWh,289.62
2024-08-31,4699370000,Electric,kWh,226.12
2024-09-30,4699370000,Electric,kWh,760.74
2024-10-31,4699370000,Electric,kWh,798.33
2024-11-30,4699370000,Electric,kWh,919.78
2024-12-31,4699370000,Electric,kWh,1229.68
2024-01-31,1494461000,Electric,kWh,1381.21
2024-02-29,1494461000,Electric,kWh,1147.85
2024-03-31,1494461000,Electric,kWh,748.07
2024-04-30,1494461000,Electric,kWh,793.8
2024-05-31,1494461000,Electric,kWh,527.4
2024-06-30,1494461000,Electric,kWh,463.22
2024-07-31,1494461000,Electric,kWh,580.73
2024-08-31,1494461000,Electric,kWh,479.29
2024-09-30,1494461000,Electric,kWh,608.99
2024-10-31,1494461000,Electric,kWh,640.69
2024-11-30,1494461000,Electric,kWh,758.72
2024-12-31,1494461000,Electric,kWh,1248.85
2024-01-31,8594670000,Electric,kWh,6678.34
2024-02-29,8594670000,Electric,kWh,7973.14
2024-03-31,8594670000,Electric,kWh,7042.56
2024-04-30,8594670000,Electric,kWh,7779.4
2024-05-31,8594670000,Electric,kWh,5338.92
2024-06-30,8594670000,Electric,kWh,3984.0
2024-07-31,8594670000,Electric,kWh,5981.98
2024-08-31,8594670000,Electric,kWh,5381.72
2024-09-30,8594670000,Electric,kWh,9417.34
2024-10-31,8594670000,Electric,kWh,7999.71
2024-11-30,8594670000,Electric,kWh,6603.4
2024-12-31,8594670000,Electric,kWh,7334.72
2024-01-31,8248671000,Electric,kWh,6232.15
2024-02-29,8248671000,Electric,kWh,6859.55
2024-03-31,8248671000,Electric,kWh,6522.65
2024-04-30,8248671000,Electric,kWh,7272.24
2024-05-31,8248671000,Electric,kWh,6726.39
2024-06-30,8248671000,Electric,kWh,6427.68
2024-07-31,8248671000,Electric,kWh,7492.89
2024-08-31,8248671000,Electric,kWh,6471.12
2024-09-30,8248671000,Electric,kWh,8905.63
2024-10-31,8248671000,Electric,kWh,7073.03
2024-11-30,8248671000,Electric,kWh,6812.39
2024-12-31,8248671000,Electric,kWh,6760.09
2024-01-31,800241000,Gas,Therms,105.17
2024-02-29,800241000,Gas,Therms,91.45
2024-03-31,800241000,Gas,Therms,70.38
2024-04-30,800241000,Gas,Therms,46.63
2024-05-31,800241000,Gas,Therms,12.76
2024-06-30,800241000,Gas,Therms,3.23
2024-07-31,800241000,Gas,Therms,0.02
2024-08-31,800241000,Gas,Therms,0.2
2024-09-30,800241000,Gas,Therms,7.09
2024-10-31,800241000,Gas,Therms,20.44
2024-11-30,800241000,Gas,Therms,20.59
2024-12-31,800241000,Gas,Therms,52.38
2024-01-31,8636940000,Electric,kWh,1612.37
2024-02-29,8636940000,Electric,kWh,3048.92
2024-03-31,8636940000,Electric,kWh,2086.63
2024-04-30,8636940000,Electric,kWh,2651.36
2024-05-31,8636940000,Electric,kWh,1173.95
2024-06-30,8636940000,Electric,kWh,289.34
2024-07-31,8636940000,Electric,kWh,322.7
2024-08-31,8636940000,Electric,kWh,566.38
2024-09-30,8636940000,Electric,kWh,2596.68
2024-10-31,8636940000,Electric,kWh,2959.12
2024-11-30,8636940000,Electric,kWh,2661.22
2024-12-31,8636940000,Electric,kWh,2135.92
2024-01-31,6406070000,Electric,kWh,7320.24
2024-02-29,6406070000,Electric,kWh,4982.68
2024-03-31,6406070000,Electric,kWh,5111.0
2024-04-30,6406070000,Electric,kWh,3916.21
2024-05-31,6406070000,Electric,kWh,4621.25
2024-06-30,6406070000,Electric,kWh,6496.24
2024-07-31,6406070000,Electric,kWh,7202.15
2024-08-31,6406070000,Electric,kWh,6206.2
2024-09-30,6406070000,Electric,kWh,3543.56
2024-10-31,6406070000,Electric,kWh,2691.64
2024-11-30,6406070000,Electric,kWh,3823.98
2024-12-31,6406070000,Electric,kWh,9928.32
2024-01-31,2136012000,Electric,kWh,1062.88
2024-02-29,2136012000,Electric,kWh,1236.26
2024-03-31,2136012000,Electric,kWh,905.13
2024-04-30,2136012000,Electric,kWh,887.03
2024-05-31,2136012000,Electric,kWh,540.99
2024-06-30,2136012000,Electric,kWh,498.12
2024-07-31,2136012000,Electric,kWh,634.87
2024-08-31,2136012000,Electric,kWh,636.32
2024-09-30,2136012000,Electric,kWh,1223.19
2024-10-31,2136012000,Electric,kWh,1129.38
2024-11-30,2136012000,Electric,kWh,992.55
2024-12-31,2136012000,Electric,kWh,1165.85
2024-01-31,7223581000,Gas,Therms,14809.099999999973
2024-02-29,7223581000,Gas,Therms,12851.220000000001
2024-03-31,7223581000,Gas,Therms,12100.290000000005
2024-04-30,7223581000,Gas,Therms,10245.560000000001
2024-05-31,7223581000,Gas,Therms,13654.640000000023
2024-06-30,7223581000,Gas,Therms,14793.27000000002
2024-07-31,7223581000,Gas,Therms,12178.370000000006
2024-08-31,7223581000,Gas,Therms,8229.83999999997
2024-09-30,7223581000,Gas,Therms,9959.150000000007
2024-10-31,7223581000,Gas,Therms,12299.000000000004
2024-11-30,7223581000,Gas,Therms,15809.499999999996
2024-12-31,7223581000,Gas,Therms,18294.850000000013
2024-01-31,8813957626,Electric,kWh,2449.02
2024-02-29,8813957626,Electric,kWh,3813.43
2024-03-31,8813957626,Electric,kWh,3235.52
2024-04-30,8813957626,Electric,kWh,2795.06
2024-05-31,8813957626,Electric,kWh,2896.45
2024-06-30,8813957626,Electric,kWh,3655.24
2024-07-31,8813957626,Electric,kWh,4162.73
2024-08-31,8813957626,Electric,kWh,3021.21
2024-09-30,8813957626,Electric,kWh,1145.12
2024-10-31,8813957626,Electric,kWh,1185.66
2024-11-30,8813957626,Electric,kWh,1627.42
2024-12-31,8813957626,Electric,kWh,1532.59
2024-01-31,8518399880,Gas,Therms,108.13
2024-02-29,8518399880,Gas,Therms,73.38
2024-03-31,8518399880,Gas,Therms,37.06
2024-04-30,8518399880,Gas,Therms,16.82
2024-05-31,8518399880,Gas,Therms,20.11
2024-06-30,8518399880,Gas,Therms,5.76
2024-07-31,8518399880,Gas,Therms,5.64
2024-08-31,8518399880,Gas,Therms,5.8
2024-09-30,8518399880,Gas,Therms,5.53
2024-10-31,8518399880,Gas,Therms,6.39
2024-11-30,8518399880,Gas,Therms,1.52
2024-12-31,8518399880,Gas,Therms,104.56
2024-01-31,8918702000,Gas,Therms,14058.7
2024-02-29,8918702000,Gas,Therms,11619.16
2024-01-31,1533871000,Gas,Therms,264.35
2024-02-29,1533871000,Gas,Therms,229.35999999999999
2024-03-31,1533871000,Gas,Therms,178.01
2024-04-30,1533871000,Gas,Therms,80.15
2024-05-31,1533871000,Gas,Therms,14.59
2024-06-30,1533871000,Gas,Therms,4.48
2024-07-31,1533871000,Gas,Therms,4.0600000000000005
2024-08-31,1533871000,Gas,Therms,4.0600000000000005
2024-09-30,1533871000,Gas,Therms,5.25
2024-10-31,1533871000,Gas,Therms,5.49
2024-11-30,1533871000,Gas,Therms,106.79
2024-12-31,1533871000,Gas,Therms,235.35
2024-01-31,426201000,Electric,kWh,27510.02
2024-02-29,426201000,Electric,kWh,28119.57
2024-03-31,426201000,Electric,kWh,26966.11
2024-04-30,426201000,Electric,kWh,29139.34
2024-05-31,426201000,Electric,kWh,26243.6
2024-06-30,426201000,Electric,kWh,27465.62
2024-07-31,426201000,Electric,kWh,40243.51
2024-08-31,426201000,Electric,kWh,36018.35
2024-09-30,426201000,Electric,kWh,31872.64
2024-10-31,426201000,Electric,kWh,31746.24
2024-11-30,426201000,Electric,kWh,26638.98
2024-12-31,426201000,Electric,kWh,26331.56
2024-06-30,16311742,Electric,kWh,7.65
2024-07-31,16311742,Electric,kWh,83.78
2024-08-31,16311742,Electric,kWh,133.98
2024-09-30,16311742,Electric,kWh,89.57
2024-10-31,16311742,Electric,kWh,131.54
2024-11-30,16311742,Electric,kWh,475.02
2024-12-31,16311742,Electric,kWh,647.84
2024-01-31,6959340000,Electric,kWh,111644.83
2024-02-29,6959340000,Electric,kWh,106119.65
2024-03-31,6959340000,Electric,kWh,102396.81
2024-04-30,6959340000,Electric,kWh,105578.95
2024-05-31,6959340000,Electric,kWh,104910.2
2024-06-30,6959340000,Electric,kWh,108829.03
2024-07-31,6959340000,Electric,kWh,121049.89
2024-08-31,6959340000,Electric,kWh,121461.81
2024-09-30,6959340000,Electric,kWh,124684.65
2024-10-31,6959340000,Electric,kWh,117266.56
2024-11-30,6959340000,Electric,kWh,105731.21
2024-12-31,6959340000,Electric,kWh,118349.65
2024-01-31,2165602000,Gas,Therms,235.91
2024-02-29,2165602000,Gas,Therms,146.97
2024-03-31,2165602000,Gas,Therms,64.23
2024-04-30,2165602000,Gas,Therms,49.44
2024-05-31,2165602000,Gas,Therms,7.82
2024-06-30,2165602000,Gas,Therms,6.18
2024-07-31,2165602000,Gas,Therms,5.9
2024-08-31,2165602000,Gas,Therms,5.98
2024-09-30,2165602000,Gas,Therms,7.44
2024-10-31,2165602000,Gas,Therms,7.77
2024-11-30,2165602000,Gas,Therms,46.44
2024-12-31,2165602000,Gas,Therms,133.1
2024-01-31,9344211000,Electric,kWh,925.83
2024-02-29,9344211000,Electric,kWh,691.16
2024-03-31,9344211000,Electric,kWh,602.8100000000001
2024-04-30,9344211000,Electric,kWh,413.79
2024-05-31,9344211000,Electric,kWh,231.15
2024-06-30,9344211000,Electric,kWh,137.85
2024-07-31,9344211000,Electric,kWh,215.58
2024-08-31,9344211000,Electric,kWh,339.03
2024-09-30,9344211000,Electric,kWh,203.09
2024-10-31,9344211000,Electric,kWh,478.2
2024-11-30,9344211000,Electric,kWh,647.16
2024-12-31,9344211000,Electric,kWh,942.14
2024-01-31,9344211000,Gas,Therms,96.1
2024-02-29,9344211000,Gas,Therms,65.06
2024-03-31,9344211000,Gas,Therms,37.75
2024-04-30,9344211000,Gas,Therms,15.67
2024-05-31,9344211000,Gas,Therms,0.32
2024-06-30,9344211000,Gas,Therms,5.63
2024-07-31,9344211000,Gas,Therms,5.59
2024-08-31,9344211000,Gas,Therms,5.83
2024-09-30,9344211000,Gas,Therms,6.48
2024-10-31,9344211000,Gas,Therms,7.72
2024-11-30,9344211000,Gas,Therms,73.26
2024-12-31,9344211000,Gas,Therms,204.97
2024-01-31,6016630000,Electric,kWh,634.13
2024-02-29,6016630000,Electric,kWh,563.42
2024-03-31,6016630000,Electric,kWh,428.81
2024-04-30,6016630000,Electric,kWh,284.98
2024-05-31,6016630000,Electric,kWh,217.86
2024-06-30,6016630000,Electric,kWh,198.38000000000002
2024-07-31,6016630000,Electric,kWh,231.3
2024-08-31,6016630000,Electric,kWh,346.64
2024-09-30,6016630000,Electric,kWh,276.69
2024-10-31,6016630000,Electric,kWh,227.32000000000002
2024-11-30,6016630000,Electric,kWh,216.54000000000002
2024-12-31,6016630000,Electric,kWh,804.23
2024-01-31,2258930000,Gas,Therms,590.48
2024-02-29,2258930000,Gas,Therms,464.95
2024-03-31,2258930000,Gas,Therms,319.4
2024-04-30,2258930000,Gas,Therms,158.97
2024-05-31,2258930000,Gas,Therms,40.79
2024-06-30,2258930000,Gas,Therms,32.410000000000004
2024-07-31,2258930000,Gas,Therms,25.29
2024-08-31,2258930000,Gas,Therms,30.35
2024-09-30,2258930000,Gas,Therms,31.84
2024-10-31,2258930000,Gas,Therms,82.44
2024-11-30,2258930000,Gas,Therms,233.87
2024-12-31,2258930000,Gas,Therms,538.39
2024-01-31,5522061000,Electric,kWh,105476.07
2024-02-29,5522061000,Electric,kWh,111573.69
2024-03-31,5522061000,Electric,kWh,113027.79
2024-04-30,5522061000,Electric,kWh,131222.37
2024-05-31,5522061000,Electric,kWh,162908.79
2024-06-30,5522061000,Electric,kWh,182244.12
2024-07-31,5522061000,Electric,kWh,188476.62
2024-08-31,5522061000,Electric,kWh,141254.58
2024-09-30,5522061000,Electric,kWh,177659.61
2024-10-31,5522061000,Electric,kWh,136495.68
2024-11-30,5522061000,Electric,kWh,113416.98
2024-12-31,5522061000,Electric,kWh,101143.17
